label,tot,cagr,vol,sharpe,mdd,hit,gl,trades
QQQ,611.6,40.8,17.7,2.01,8.8,17.4,5.53,23360
TQQQ,1484.0,61.9,52.9,1.17,40.9,18.1,5.18,23504
