,0
2018-11-02,34925.6507
2018-11-05,35265.5148
2018-11-06,35336.167
2018-11-07,35435.5167
2018-11-08,35880.2606
2018-11-09,35382.2621
2018-11-12,35360.2342
2018-11-13,35829.4375
2018-11-14,35501.1566
2018-11-15,35625.1526
2018-11-16,36223.9681
2018-11-19,35787.6099
2018-11-20,36717.2782
2018-11-21,36534.5369
2018-11-22,35747.1046
2018-11-23,35653.937
2018-11-26,35608.7174
2018-11-27,35532.4408
2018-11-28,35363.4905
2018-11-29,35942.4634
2018-11-30,35290.5351
2018-12-03,35235.4764
2018-12-04,34966.8341
2018-12-06,35578.7716
2018-12-07,35810.64
2018-12-10,36736.7153
2018-12-11,36667.7791
2018-12-12,35951.635
2018-12-13,36186.4137
2018-12-14,35758.6458
2018-12-17,35977.5699
2018-12-18,36600.7653
2018-12-19,35416.2377
2018-12-20,35966.6467
2018-12-21,35089.1667
2018-12-24,35946.9933
2018-12-26,36176.9181
2018-12-27,37691.729
2018-12-28,38291.9628
2018-12-31,38206.1729
2019-01-02,37316.8957
2019-01-03,38136.725
2019-01-04,37991.3107
2019-01-07,38860.1245
2019-01-08,38392.8299
2019-01-09,38473.0826
2019-01-10,37785.3827
2019-01-11,37979.2122
2019-01-14,37567.4719
2019-01-15,37602.9331
2019-01-16,37887.6277
2019-01-17,37936.877
2019-01-18,38262.4934
2019-01-21,38384.243
2019-01-22,38458.0027
2019-01-23,38842.4391
2019-01-24,39022.918
2019-01-25,38760.9431
2019-01-28,38859.6715
2019-01-29,38819.9806
2019-01-30,38907.5828
2019-01-31,39262.6273
2019-02-01,39284.0031
2019-02-04,39293.6723
2019-02-05,39522.7912
2019-02-06,39718.0896
2019-02-07,39562.3286
2019-02-08,39465.009
2019-02-11,39554.0504
2019-02-12,39539.7525
2019-02-13,39819.1143
2019-02-14,39509.6048
2019-02-15,39320.3793
2019-02-18,39167.0516
2019-02-19,39209.9707
2019-02-20,39282.3445
2019-02-21,38750.3013
2019-02-22,38657.9702
2019-02-25,38451.6268
2019-02-26,38577.656
2019-02-27,38546.2728
2019-02-28,38910.9886
2019-03-01,38567.3226
2019-03-04,38567.3226
2019-03-05,38856.6183
2019-03-06,38672.0932
2019-03-07,38657.3245
2019-03-08,38813.531
2019-03-11,38466.4042
2019-03-12,39081.3976
2019-03-13,38739.8973
2019-03-14,38624.7639
2019-03-15,38244.6555
2019-03-18,38232.5322
2019-03-19,38154.4964
2019-03-20,37773.08
2019-03-21,37672.655
2019-03-22,38270.0351
2019-03-25,38914.2212
2019-03-26,38826.447
2019-03-27,38720.3635
2019-03-28,38638.0551
2019-03-29,38557.58
2019-04-01,38213.0464
2019-04-02,38101.4956
2019-04-03,38079.6883
2019-04-04,38188.8587
2019-04-05,38196.0082
2019-04-08,37809.2138
2019-04-09,37863.4514
2019-04-10,37712.87
2019-04-11,37590.1157
2019-04-12,37474.5194
2019-04-15,37280.0895
2019-04-16,37459.556
2019-04-17,37240.5396
2019-04-18,37051.0739
2019-04-22,37125.5038
2019-04-23,37309.917
2019-04-24,37701.1949
2019-04-25,37687.753
2019-04-26,37716.1708
2019-04-29,38122.2516
2019-04-30,37962.1747
2019-05-01,37855.0141
2019-05-02,38029.5691
2019-05-03,38179.4946
2019-05-06,38361.0867
2019-05-07,38661.4131
2019-05-08,38986.3833
2019-05-09,38431.3412
2019-05-10,38829.1573
2019-05-13,39591.5482
2019-05-14,39453.9945
2019-05-15,39532.4528
2019-05-16,40062.031
2019-05-17,40051.2855
2019-05-20,39465.2125
2019-05-21,38839.9644
2019-05-22,38574.8721
2019-05-23,37980.5032
2019-05-24,37645.8436
2019-05-27,37765.9325
2019-05-28,37588.2071
2019-05-29,37612.7776
2019-05-30,37086.9106
2019-05-31,37028.2128
2019-06-03,36999.1559
2019-06-04,37310.4666
2019-06-05,37681.2566
2019-06-06,37738.5784
2019-06-07,37840.7766
2019-06-10,38349.7619
2019-06-11,38563.2389
2019-06-12,38701.1176
2019-06-13,38577.2242
2019-06-14,38125.4554
2019-06-17,38080.6653
2019-06-18,38022.5158
2019-06-19,37924.8075
2019-06-20,37849.8946
2019-06-21,37889.6492
2019-06-24,37663.2468
2019-06-25,37504.6656
2019-06-26,38114.596
2019-06-27,38168.4797
2019-06-28,37974.0769
2019-07-01,37997.0716
2019-07-02,38047.6797
2019-07-03,37934.9884
2019-07-04,38014.1908
2019-07-05,38017.7995
2019-07-08,38185.2463
2019-07-09,38145.6328
2019-07-10,38532.1693
2019-07-11,38496.8385
2019-07-12,38384.1336
2019-07-15,38517.0721
2019-07-16,38375.9125
2019-07-17,38413.0996
2019-07-18,38444.1344
2019-07-19,38584.084
2019-07-22,39117.3551
2019-07-23,38974.9378
2019-07-24,39023.4592
2019-07-25,39344.6112
2019-07-26,39461.8244
2019-07-29,39422.5032
2019-07-30,39612.7737
2019-07-31,39333.8895
2019-08-01,39831.2009
2019-08-02,40773.0099
2019-08-05,40372.0346
2019-08-06,40505.1913
2019-08-07,40527.9712
2019-08-08,40772.0452
2019-08-09,41258.2452
