,0
2018-01-03,25235.6879
2018-01-04,25379.1602
2018-01-05,25285.595
2018-01-08,25328.6816
2018-01-09,25375.9371
2018-01-10,25378.382
2018-01-11,25364.3945
2018-01-12,25316.8704
2018-01-15,25497.5816
2018-01-16,25497.5816
2018-01-17,25765.9084
2018-01-18,25772.4723
2018-01-19,25543.153
2018-01-22,25489.2393
2018-01-23,25744.8601
2018-01-24,25556.654
2018-01-25,25520.0217
2018-01-26,25407.4075
2018-01-29,25624.9992
2018-01-30,25481.3262
2018-01-31,25216.6447
2018-02-01,25149.575
2018-02-02,25227.5293
2018-02-05,25261.8665
2018-02-06,26394.3877
2018-02-07,26422.9947
2018-02-08,26585.8005
2018-02-09,27220.9739
2018-02-12,27157.0659
2018-02-13,26926.8634
2018-02-14,26628.8905
2018-02-15,27182.1591
2018-02-16,27364.9872
2018-02-19,27404.4946
2018-02-20,27408.9699
2018-02-21,27611.1241
2018-02-22,27733.1988
2018-02-23,27574.4749
2018-02-26,27681.3974
2018-02-27,27732.6283
2018-02-28,27958.2521
2018-03-01,28091.9593
2018-03-02,27686.202
2018-03-05,27914.6071
2018-03-06,28209.6921
2018-03-07,27840.033
2018-03-08,27676.789
2018-03-09,27270.4159
2018-03-12,27492.9896
2018-03-13,27276.7674
2018-03-14,27699.3662
2018-03-15,27300.2497
2018-03-16,27142.2258
2018-03-19,27071.485
2018-03-20,27167.9597
2018-03-21,26783.1439
2018-03-22,26924.323
2018-03-23,26641.1563
2018-03-26,26934.649
2018-03-27,27395.9925
2018-03-28,27946.1134
2018-03-29,26029.2174
2018-04-02,26419.8768
2018-04-03,26949.1124
2018-04-04,26732.3434
2018-04-05,27079.3553
2018-04-06,26494.2871
2018-04-09,26744.7514
2018-04-10,26979.7147
2018-04-11,26922.5209
2018-04-12,26394.8922
2018-04-13,26231.9129
2018-04-16,26208.2527
2018-04-17,25991.3285
2018-04-18,26256.5282
2018-04-19,26289.5878
2018-04-20,26137.1446
2018-04-23,26290.6258
2018-04-24,26376.342
2018-04-25,26830.9464
2018-04-26,27129.2502
2018-04-27,27102.6566
2018-04-30,27418.0344
2018-05-01,27632.2034
2018-05-02,27373.7696
2018-05-03,27089.2264
2018-05-04,27230.8765
2018-05-07,27777.2511
2018-05-08,27678.6496
2018-05-09,27161.5736
2018-05-10,26997.487
2018-05-11,27145.2454
2018-05-14,27001.9591
2018-05-15,27061.1411
2018-05-16,26995.0401
2018-05-17,26967.5246
2018-05-18,27014.5727
2018-05-21,26645.6151
2018-05-22,26690.9906
2018-05-23,26703.483
2018-05-24,26910.8876
2018-05-25,27040.2657
2018-05-28,26933.2921
2018-05-29,26953.1904
2018-05-30,26820.7793
2018-05-31,26721.029
2018-06-01,26607.891
2018-06-04,26694.9268
2018-06-05,26685.8718
2018-06-06,26599.0653
2018-06-07,26716.6998
2018-06-08,26872.1849
2018-06-11,26768.4755
2018-06-12,26690.596
2018-06-13,26529.4233
2018-06-14,26417.2654
2018-06-15,26202.0901
2018-06-18,26071.5381
2018-06-19,26164.8064
2018-06-20,26333.2934
2018-06-21,26231.8179
2018-06-22,26355.2461
2018-06-25,26362.0385
2018-06-26,26593.9084
2018-06-27,26319.0938
2018-06-28,26714.5162
2018-06-29,26235.3088
2018-07-02,26218.7133
2018-07-03,26408.5468
2018-07-04,26628.1633
2018-07-05,26594.2947
2018-07-06,26662.336
2018-07-09,26904.9412
2018-07-10,26882.363
