,0
2018-01-03,25236.9845
2018-01-04,25317.605
2018-01-05,25317.605
2018-01-08,25379.3495
2018-01-09,25363.9733
2018-01-10,25190.9866
2018-01-11,25060.6707
2018-01-12,25103.4509
2018-01-15,25187.0053
2018-01-16,25187.0053
2018-01-17,25402.2844
2018-01-18,25534.9121
2018-01-19,25352.6373
2018-01-22,25261.3262
2018-01-23,25448.693
2018-01-24,25445.6392
2018-01-25,25387.7646
2018-01-26,25197.3937
2018-01-29,25358.5812
2018-01-30,25028.3376
2018-01-31,24589.0739
2018-02-01,24578.175
2018-02-02,24593.4865
2018-02-05,24898.369
2018-02-06,25881.8354
2018-02-07,25910.2161
2018-02-08,26138.2886
2018-02-09,27192.7419
2018-02-12,27544.453
2018-02-13,27465.0796
2018-02-14,27630.3975
2018-02-15,28153.9171
2018-02-16,27956.8723
2018-02-19,27800.5793
2018-02-20,27718.0832
2018-02-21,27732.865
2018-02-22,27888.2638
2018-02-23,27683.6041
2018-02-26,27822.6412
2018-02-27,27897.1113
2018-02-28,27875.8824
2018-03-01,27863.3853
2018-03-02,27990.9451
2018-03-05,28334.671
2018-03-06,28591.8345
2018-03-07,28196.6392
2018-03-08,27964.9581
2018-03-09,27840.6684
2018-03-12,28076.5408
2018-03-13,27849.6435
2018-03-14,28276.2841
2018-03-15,27952.6986
2018-03-16,27804.852
2018-03-19,27855.7274
2018-03-20,28043.2255
2018-03-21,27714.0978
2018-03-22,27717.4691
2018-03-23,27665.2494
2018-03-26,27734.9819
2018-03-27,28224.4067
2018-03-28,28860.2914
2018-03-29,27622.3999
2018-04-02,27896.7961
2018-04-03,28271.4753
2018-04-04,27653.417
2018-04-05,28102.6832
2018-04-06,27638.5435
2018-04-09,27999.7076
2018-04-10,28376.4557
2018-04-11,28062.3696
2018-04-12,27994.2043
2018-04-13,27706.4955
2018-04-16,27905.249
2018-04-17,27764.2308
2018-04-18,27951.3245
2018-04-19,27804.9682
2018-04-20,27625.1146
2018-04-23,27830.3104
2018-04-24,27661.8426
2018-04-25,28247.7584
2018-04-26,28390.08
2018-04-27,28552.9417
2018-04-30,28805.4384
2018-05-01,28977.8799
2018-05-02,28922.9322
2018-05-03,28544.0837
2018-05-04,28485.8351
2018-05-07,29024.596
2018-05-08,28834.0332
2018-05-09,28320.9645
2018-05-10,28365.1295
2018-05-11,28453.628
2018-05-14,28371.2867
2018-05-15,28249.1696
2018-05-16,27866.4002
2018-05-17,27887.1768
2018-05-18,27802.1279
2018-05-21,27550.4565
2018-05-22,27585.9553
2018-05-23,27655.3891
2018-05-24,27954.3097
2018-05-25,27958.5096
2018-05-28,27892.0677
2018-05-29,27892.0677
2018-05-30,27773.0691
2018-05-31,27793.622
2018-06-01,27472.3235
2018-06-04,27600.4873
2018-06-05,27633.9114
2018-06-06,27539.7515
2018-06-07,27519.5761
2018-06-08,27610.1907
2018-06-11,27491.4595
2018-06-12,27459.4379
2018-06-13,27470.4321
2018-06-14,27401.5687
2018-06-15,27437.6991
2018-06-18,27407.1166
2018-06-19,27527.7733
2018-06-20,27581.2958
2018-06-21,27541.2286
2018-06-22,27728.6707
2018-06-25,27524.894
2018-06-26,27804.2192
2018-06-27,27479.8408
2018-06-28,27765.396
2018-06-29,27288.8811
2018-07-02,27233.4813
2018-07-03,27578.9878
2018-07-04,27843.0391
2018-07-05,27843.0391
2018-07-06,27853.3063
2018-07-09,28089.9279
2018-07-10,28017.7365
2018-07-11,27944.1641
2018-07-12,27754.293
2018-07-13,27968.7546
2018-07-16,27968.7546
2018-07-17,27965.3983
2018-07-18,28248.4816
2018-07-19,28172.4244
2018-07-20,28165.2197
2018-07-23,28040.6642
2018-07-24,28029.0726
2018-07-25,28149.8522
2018-07-26,28408.0741
2018-07-27,28385.4835
2018-07-30,28766.2474
2018-07-31,29034.7349
2018-08-01,28747.8548
2018-08-02,28540.0424
2018-08-03,28979.3652
2018-08-06,28979.3652
2018-08-07,29073.5007
2018-08-08,29005.662
2018-08-09,28967.3129
2018-08-10,28967.3129
2018-08-13,28925.7129
2018-08-14,28875.2048
2018-08-15,28798.6901
2018-08-16,28764.4352
2018-08-17,28644.3571
2018-08-20,28616.4857
2018-08-21,28462.3233
2018-08-22,28298.7471
2018-08-23,28327.7384
2018-08-24,28273.5099
2018-08-27,28307.9008
2018-08-28,28353.2152
2018-08-29,28353.2152
2018-08-30,28491.9692
2018-08-31,28379.3572
2018-09-03,28323.9901
2018-09-04,28323.9901
2018-09-05,27915.6168
2018-09-06,28098.2728
2018-09-07,28236.4045
2018-09-10,28277.0738
2018-09-11,28168.9859
2018-09-12,28429.6189
2018-09-13,28070.8417
2018-09-14,27733.4341
2018-09-17,27729.1871
2018-09-18,27948.7139
2018-09-19,27999.517
2018-09-20,27933.8729
2018-09-21,27949.8281
2018-09-24,28088.0993
2018-09-25,28332.4109
2018-09-26,28326.2121
2018-09-27,28259.1331
2018-09-28,28239.1494
2018-10-01,28223.7793
2018-10-02,28307.5085
2018-10-03,28204.9812
2018-10-04,28210.795
2018-10-05,28479.7667
2018-10-08,28589.2506
2018-10-09,28483.3734
2018-10-10,28414.0438
2018-10-11,29336.7459
2018-10-12,28734.0904
2018-10-15,28191.7869
2018-10-16,27854.1237
2018-10-17,27959.1163
2018-10-18,27609.2916
2018-10-19,27947.2233
2018-10-22,28186.7178
2018-10-23,28181.8864
2018-10-24,28347.8594
2018-10-25,29528.199
2018-10-26,29797.4674
2018-10-29,29157.2437
2018-10-30,29676.4046
2018-10-31,29203.1176
2018-11-01,28627.6424
2018-11-02,28669.728
2018-11-05,28837.308
2018-11-06,28956.5163
2018-11-07,28906.0194
2018-11-08,29348.3077
2018-11-09,29177.0366
2018-11-12,29171.6949
2018-11-13,29701.1206
2018-11-14,29489.0775
2018-11-15,29620.1601
2018-11-16,29902.415
2018-11-19,29343.8824
2018-11-20,30045.2772
2018-11-21,29868.3114
2018-11-22,29001.553
2018-11-23,29026.9521
2018-11-26,29032.1238
2018-11-27,28960.1951
2018-11-28,28977.7026
2018-11-29,29455.246
2018-11-30,29350.5518
2018-12-03,29173.2098
2018-12-04,28743.8044
2018-12-06,29597.3388
2018-12-07,29612.4538
2018-12-10,30238.7559
2018-12-11,30191.9969
2018-12-12,29956.8547
2018-12-13,30171.5741
2018-12-14,29747.7572
2018-12-17,29946.0644
2018-12-18,30169.4996
2018-12-19,29527.6816
2018-12-20,29672.4934
2018-12-21,28313.6667
2018-12-24,28922.1399
2018-12-26,29197.4034
2018-12-27,30436.6882
2018-12-28,30552.8542
2018-12-31,29781.5617
2019-01-02,29458.5422
2019-01-03,30037.1313
2019-01-04,30264.2463
2019-01-07,31019.8722
2019-01-08,31221.4999
2019-01-09,31351.2368
2019-01-10,31024.2122
2019-01-11,31121.6019
2019-01-14,31140.2375
2019-01-15,31115.1286
2019-01-16,31457.4716
2019-01-17,31379.7835
2019-01-18,31596.6965
2019-01-21,31449.4649
2019-01-22,31449.4649
2019-01-23,31687.9701
2019-01-24,31776.5523
2019-01-25,31454.8554
2019-01-28,31560.2709
2019-01-29,31461.0565
2019-01-30,31628.1562
2019-01-31,31815.9292
2019-02-01,31984.5459
2019-02-04,31897.0109
2019-02-05,32163.4382
2019-02-06,31830.1795
2019-02-07,31844.5304
2019-02-08,31692.4599
2019-02-11,31893.7487
2019-02-12,31942.8686
2019-02-13,32040.6189
2019-02-14,32101.6728
2019-02-15,32180.25
2019-02-18,32110.1574
2019-02-19,32110.1574
2019-02-20,32049.6505
2019-02-21,32041.2718
2019-02-22,31679.1537
2019-02-25,31388.9251
2019-02-26,31461.0169
2019-02-27,31461.6556
2019-02-28,31467.9646
2019-03-01,31216.0754
2019-03-04,31092.4949
2019-03-05,31186.2324
2019-03-06,30953.0766
2019-03-07,31024.1989
2019-03-08,30832.2836
2019-03-11,31003.077
2019-03-12,31300.8239
2019-03-13,31315.5447
2019-03-14,31279.4583
2019-03-15,31279.4583
2019-03-18,31320.5376
2019-03-19,31127.1618
2019-03-20,30942.1857
2019-03-21,30847.6481
2019-03-22,31262.4625
2019-03-25,31725.3618
2019-03-26,31152.1969
2019-03-27,31078.7571
2019-03-28,31191.1074
2019-03-29,30991.9571
2019-04-01,30836.4202
2019-04-02,30699.163
2019-04-03,30694.4592
2019-04-04,30600.1073
2019-04-05,30591.3786
2019-04-08,30591.3786
2019-04-09,30672.2031
2019-04-10,30605.8002
2019-04-11,30635.2268
2019-04-12,30576.1487
2019-04-15,30456.1327
2019-04-16,30354.888
2019-04-17,30266.9979
2019-04-18,30254.5205
2019-04-22,30112.4056
2019-04-23,30213.3185
2019-04-24,30377.5339
2019-04-25,30396.2544
2019-04-26,30189.5991
2019-04-29,30196.8944
2019-04-30,30196.8944
2019-05-01,30058.6326
2019-05-02,30130.7146
2019-05-03,30067.4386
2019-05-06,30167.5114
2019-05-07,30503.7959
2019-05-08,30700.0694
2019-05-09,30463.6978
2019-05-10,30668.4011
2019-05-13,31098.298
2019-05-14,31370.8695
2019-05-15,31229.3103
2019-05-16,31685.0964
2019-05-17,31733.1049
2019-05-20,31803.1827
2019-05-21,31520.4086
2019-05-22,31298.8851
2019-05-23,31004.8146
2019-05-24,30648.8987
2019-05-27,30781.9437
2019-05-28,30781.9437
2019-05-29,30989.1642
2019-05-30,30764.7992
2019-05-31,30698.4046
2019-06-03,30603.3473
2019-06-04,31096.7556
2019-06-05,31568.4893
2019-06-06,31583.7948
2019-06-07,31739.1225
2019-06-10,32062.6215
2019-06-11,32046.3947
2019-06-12,32260.595
2019-06-13,32254.5658
2019-06-14,32153.8831
2019-06-17,32116.7557
2019-06-18,32100.1096
2019-06-19,32117.6348
2019-06-20,32153.4785
2019-06-21,32152.7262
2019-06-24,32054.8269
2019-06-25,32054.8269
2019-06-26,32404.5224
2019-06-27,32309.5427
2019-06-28,32227.6894
2019-07-01,32031.3053
2019-07-02,32095.1355
2019-07-03,31978.37
2019-07-04,32022.2372
2019-07-05,32022.2372
2019-07-08,32000.2955
2019-07-09,32000.2955
2019-07-10,32126.4048
2019-07-11,31837.6012
2019-07-12,31835.7907
2019-07-15,31841.9654
2019-07-16,31841.9654
2019-07-17,31847.1553
2019-07-18,31925.665
