0,0
2018-01-02 16:00:00-05:00,99813.4696
2018-01-03 16:00:00-05:00,100161.7278
2018-01-04 16:00:00-05:00,100370.9568
2018-01-05 16:00:00-05:00,100215.414
2018-01-08 16:00:00-05:00,100450.9408
2018-01-09 16:00:00-05:00,100450.9408
2018-01-10 16:00:00-05:00,100450.9408
2018-01-11 16:00:00-05:00,100450.9408
2018-01-12 16:00:00-05:00,100730.0198
2018-01-16 16:00:00-05:00,100911.4992
2018-01-17 16:00:00-05:00,101284.0947
2018-01-18 16:00:00-05:00,101284.0947
2018-01-19 16:00:00-05:00,101046.7568
2018-01-22 16:00:00-05:00,101046.7568
2018-01-23 16:00:00-05:00,101046.7568
2018-01-24 16:00:00-05:00,101046.7568
2018-01-25 16:00:00-05:00,101365.9439
2018-01-26 16:00:00-05:00,101365.9439
2018-01-29 16:00:00-05:00,101365.9439
2018-01-30 16:00:00-05:00,101013.4381
2018-01-31 16:00:00-05:00,101013.4381
2018-02-01 16:00:00-05:00,101389.6518
2018-02-02 16:00:00-05:00,101061.0869
2018-02-05 16:00:00-05:00,100501.3552
2018-02-06 16:00:00-05:00,99485.7662
2018-02-07 16:00:00-05:00,99095.2941
2018-02-08 16:00:00-05:00,99095.2941
2018-02-09 16:00:00-05:00,99095.2941
2018-02-12 16:00:00-05:00,98350.3723
2018-02-13 16:00:00-05:00,98350.3723
2018-02-14 16:00:00-05:00,98350.3723
2018-02-15 16:00:00-05:00,98350.3723
2018-02-16 16:00:00-05:00,98885.718
2018-02-20 16:00:00-05:00,98885.718
2018-02-21 16:00:00-05:00,98885.718
2018-02-22 16:00:00-05:00,98885.718
2018-02-23 16:00:00-05:00,98885.718
2018-02-26 16:00:00-05:00,98885.718
2018-02-27 16:00:00-05:00,98885.718
2018-02-28 16:00:00-05:00,98885.718
2018-03-01 16:00:00-05:00,98885.718
2018-03-02 16:00:00-05:00,98885.718
2018-03-05 16:00:00-05:00,98644.7329
2018-03-06 16:00:00-05:00,98644.7329
2018-03-07 16:00:00-05:00,98644.7329
2018-03-08 16:00:00-05:00,98644.7329
2018-03-09 16:00:00-05:00,98644.7329
2018-03-12 16:00:00-04:00,98644.7329
2018-03-13 16:00:00-04:00,98644.7329
2018-03-14 16:00:00-04:00,98644.7329
2018-03-15 16:00:00-04:00,98644.7329
2018-03-16 16:00:00-04:00,98424.0035
2018-03-19 16:00:00-04:00,98783.1699
2018-03-20 16:00:00-04:00,98314.2834
2018-03-21 16:00:00-04:00,98314.2834
2018-03-22 16:00:00-04:00,98666.2901
2018-03-23 16:00:00-04:00,98268.5425
2018-03-26 16:00:00-04:00,98268.5425
2018-03-27 16:00:00-04:00,98268.5425
2018-03-28 16:00:00-04:00,97666.5268
2018-03-29 16:00:00-04:00,97666.5268
2018-04-02 16:00:00-04:00,97666.5268
2018-04-03 16:00:00-04:00,97666.5268
