,0
2018-01-03,25262.4113
2018-01-04,25355.6726
2018-01-05,25333.3948
2018-01-08,25407.6082
2018-01-09,25409.3104
2018-01-10,25273.8904
2018-01-11,25194.3319
2018-01-12,25254.292
2018-01-15,25360.9201
2018-01-16,25360.9201
2018-01-17,25515.1273
2018-01-18,25550.166
2018-01-19,25433.3275
2018-01-22,25363.9472
2018-01-23,25559.5213
2018-01-24,25587.6455
2018-01-25,25621.7335
2018-01-26,25505.8287
2018-01-29,25680.025
2018-01-30,25471.4623
2018-01-31,25158.2728
2018-02-01,25158.8664
2018-02-02,25241.5842
2018-02-05,25388.7268
2018-02-06,26427.4603
2018-02-07,26604.0701
2018-02-08,26671.487
2018-02-09,27764.9725
2018-02-12,27754.4629
2018-02-13,27754.6919
2018-02-14,27945.3458
2018-02-15,28483.5233
2018-02-16,28451.2446
2018-02-19,28236.8901
2018-02-20,28193.8797
2018-02-21,28221.3884
2018-02-22,28439.5507
2018-02-23,28340.0346
2018-02-26,28520.1268
2018-02-27,28353.3977
2018-02-28,28378.484
2018-03-01,28323.754
2018-03-02,28205.077
2018-03-05,28423.5387
2018-03-06,28736.7716
2018-03-07,28498.6219
2018-03-08,28467.9173
2018-03-09,27854.3794
2018-03-12,28107.3352
2018-03-13,27934.2751
2018-03-14,28364.1335
2018-03-15,27817.9809
2018-03-16,27567.9503
2018-03-19,27638.8598
2018-03-20,27851.5962
2018-03-21,27120.771
2018-03-22,27164.3273
2018-03-23,26964.0233
2018-03-26,27127.2865
2018-03-27,27665.2022
2018-03-28,28061.7213
2018-03-29,26478.0777
2018-04-02,26854.8429
2018-04-03,27285.0677
2018-04-04,26590.0587
2018-04-05,27136.79
2018-04-06,26415.0469
2018-04-09,26806.098
2018-04-10,27166.7855
2018-04-11,26872.2344
2018-04-12,26870.8595
2018-04-13,26652.7382
2018-04-16,26850.858
2018-04-17,26553.8562
2018-04-18,26801.9836
2018-04-19,26735.4391
2018-04-20,26625.1247
2018-04-23,26833.6957
2018-04-24,26744.7126
2018-04-25,27358.3185
2018-04-26,27548.0067
2018-04-27,27572.2921
2018-04-30,27816.1168
2018-05-01,28030.5566
2018-05-02,28081.6186
2018-05-03,27659.2062
2018-05-04,27633.5581
2018-05-07,28188.0123
2018-05-08,28075.0345
2018-05-09,27497.4211
2018-05-10,27596.1113
2018-05-11,27703.1564
2018-05-14,27548.4337
2018-05-15,27482.8562
2018-05-16,27208.4184
2018-05-17,27245.4112
2018-05-18,27240.8377
2018-05-21,27036.676
2018-05-22,27094.8941
2018-05-23,27163.0918
2018-05-24,27215.8682
2018-05-25,27272.0815
2018-05-28,27006.2925
2018-05-29,27006.2925
2018-05-30,26922.0517
2018-05-31,26948.7355
2018-06-01,26690.8256
2018-06-04,26843.8922
2018-06-05,26887.7028
2018-06-06,26814.9407
2018-06-07,26863.9817
2018-06-08,26979.4474
2018-06-11,26896.617
2018-06-12,26880.2682
2018-06-13,26912.5071
2018-06-14,26662.2782
2018-06-15,26720.3167
2018-06-18,26589.5014
2018-06-19,26721.32
2018-06-20,26707.1526
2018-06-21,26683.8582
2018-06-22,26648.5464
2018-06-25,26533.6178
2018-06-26,26802.8834
2018-06-27,26463.328
2018-06-28,26816.6133
2018-06-29,26462.6621
2018-07-02,26443.2968
2018-07-03,26823.633
2018-07-04,27151.4304
2018-07-05,27151.4304
2018-07-06,27201.9307
2018-07-09,27486.7138
2018-07-10,27472.1381
2018-07-11,27310.6405
2018-07-12,27148.3712
2018-07-13,27379.6386
2018-07-16,27224.7747
2018-07-17,27239.0287
2018-07-18,27573.8792
2018-07-19,27530.4825
2018-07-20,27316.0262
2018-07-23,27239.4026
2018-07-24,27295.1697
2018-07-25,27444.6623
2018-07-26,27713.153
2018-07-27,27442.5988
2018-07-30,27868.1541
2018-07-31,28162.3789
2018-08-01,27982.7838
2018-08-02,27834.0993
2018-08-03,28285.9092
2018-08-06,28155.2132
2018-08-07,28261.9048
2018-08-08,28195.9598
2018-08-09,28188.8062
2018-08-10,28081.5032
2018-08-13,28069.6132
2018-08-14,28105.2077
2018-08-15,28085.7267
2018-08-16,28094.0848
2018-08-17,27998.4659
2018-08-20,27876.8959
2018-08-21,27806.0556
2018-08-22,27751.6614
2018-08-23,27665.6161
2018-08-24,27668.2504
2018-08-27,27713.9431
2018-08-28,27773.9331
2018-08-29,27722.8803
2018-08-30,27877.7363
2018-08-31,27781.1257
2018-09-03,27636.1212
2018-09-04,27636.1212
2018-09-05,27438.8524
2018-09-06,27381.3025
2018-09-07,27550.3926
2018-09-10,27590.0738
2018-09-11,27526.9053
2018-09-12,27798.4085
2018-09-13,27532.5656
2018-09-14,27266.4991
2018-09-17,27262.3236
2018-09-18,27503.3821
2018-09-19,27553.3757
2018-09-20,27543.0792
2018-09-21,27404.1071
2018-09-24,27554.9211
2018-09-25,27648.0941
2018-09-26,27522.4121
2018-09-27,27546.471
2018-09-28,27582.7825
2018-10-01,27579.4726
2018-10-02,27678.2529
2018-10-03,27526.3896
2018-10-04,27532.0635
2018-10-05,27794.5639
2018-10-08,27974.4428
2018-10-09,27830.8652
2018-10-10,27531.2626
2018-10-11,28478.9329
2018-10-12,27493.3606
2018-10-15,27169.4926
2018-10-16,26853.5833
2018-10-17,26954.8045
2018-10-18,26739.8463
2018-10-19,27096.3622
2018-10-22,27375.5546
2018-10-23,27370.8622
2018-10-24,27586.0208
2018-10-25,28734.6393
2018-10-26,29065.8983
2018-10-29,28575.3738
2018-10-30,29169.0691
2018-10-31,28948.9705
2018-11-01,28526.1103
2018-11-02,28549.106
2018-11-05,28796.9101
2018-11-06,28668.7367
2018-11-07,28673.1588
2018-11-08,29143.6962
2018-11-09,29031.2577
2018-11-12,29025.9426
2018-11-13,29307.8265
2018-11-14,29278.4718
2018-11-15,29149.094
2018-11-16,29468.146
2018-11-19,28928.3507
2018-11-20,29619.8133
2018-11-21,29556.4983
2018-11-22,28833.0757
2018-11-23,28858.3273
2018-11-26,28934.8798
2018-11-27,28803.6445
2018-11-28,28942.0488
2018-11-29,29445.5198
2018-11-30,29372.0278
2018-12-03,29098.5913
2018-12-04,28860.4149
2018-12-06,29736.3719
2018-12-07,29762.7158
2018-12-10,30470.5496
2018-12-11,30423.4322
2018-12-12,30140.9485
2018-12-13,30383.7349
2018-12-14,30061.2085
2018-12-17,30147.4737
2018-12-18,30461.458
2018-12-19,29506.3842
2018-12-20,29840.247
2018-12-21,29040.3437
2018-12-24,29847.775
2018-12-26,30169.4222
2018-12-27,31547.0056
2018-12-28,31948.2567
2018-12-31,31303.2463
2019-01-02,31026.3864
2019-01-03,31652.2309
2019-01-04,31381.8042
2019-01-07,32198.6739
2019-01-08,32164.0223
2019-01-09,32015.9453
2019-01-10,31507.5451
2019-01-11,31395.6653
2019-01-14,31160.5952
2019-01-15,31135.4699
2019-01-16,31478.0367
2019-01-17,31497.4275
2019-01-18,31747.2218
2019-01-21,31523.8539
2019-01-22,31523.8539
2019-01-23,31800.1321
2019-01-24,31762.9335
2019-01-25,31250.9677
2019-01-28,31363.8085
