date,instrument,realized_range_atr,rth_ret_pct,on_ret_pct
2021-08-10,ES,0.5179191,0.01128732,0.09603435
2021-08-12,ES,0.9037865,0.3322259,-0.02814681
2021-08-16,ES,1.593266,0.5506546,-0.3025041
2021-08-17,ES,1.606873,-0.02811674,-0.6258731
2021-08-18,ES,2.026549,-0.8459283,-0.2587468
2021-08-20,ES,1.277746,0.7036659,0.07382588
2021-08-23,ES,0.9854749,0.4713805,0.4169954
2021-08-24,ES,0.3460674,0.005576934,0.1508043
2021-08-25,ES,0.5574149,0.1672241,0.04461298
2021-08-26,ES,0.8962656,-0.5234436,-0.06677796
2021-08-27,ES,1.16,0.6816404,0.1903269
2021-08-31,ES,0.4669098,-0.1049724,-0.01657184
2021-09-01,ES,0.4562856,-0.1655812,0.2046347
2021-09-03,ES,0.5977366,0.248715,-0.2810847
2021-09-07,ES,0.7151442,-0.259339,-0.3025635
2021-09-08,ES,1.007643,0.01108033,-0.1438371
2021-09-09,ES,1.473684,-0.3769192,-0.06093508
2021-09-10,ES,2.342818,-1.22397,0.4618038
2021-09-13,ES,1.761468,-0.4621381,0.7008691
2021-09-14,ES,1.73741,-0.8696622,0.3412206
2021-09-15,ES,1.561475,0.7376957,0.07883966
2021-09-16,ES,1.279196,-0.03918276,-0.1341607
2021-09-17,ES,1.303185,-0.8023341,-0.1959906
2021-09-21,ES,1.128309,-0.6519874,0.5694237
2021-09-22,ES,1.103111,0.4065041,0.5468885
2021-09-23,ES,1.112563,0.7492763,0.4561784
2021-09-24,ES,0.6793681,0.5712347,-0.3831202
2021-09-27,ES,0.4023047,-0.005638886,-0.2699359
2021-09-28,ES,1.360033,-1.340072,-0.6879829
2021-09-29,ES,0.5599502,-0.1720973,0.3280576
2021-09-30,ES,1.386606,-1.58612,0.3562809
2021-10-01,ES,1.519344,0.7415991,0.4247396
2021-10-04,ES,1.255475,-0.986216,-0.2818035
2021-10-05,ES,0.9672871,0.6384214,0.361137
2021-10-06,ES,1.180863,1.314871,-0.8765859
2021-10-07,ES,0.5229456,0.06266735,0.7982083
2021-10-08,ES,0.3950875,-0.3693811,0.1878843
2021-10-11,ES,0.9387755,-0.577011,-0.159708
2021-10-12,ES,0.5372187,-0.4701026,0.2298454
2021-10-13,ES,0.7703349,0.09767869,0.2476816
2021-10-14,ES,0.7075501,0.7678744,0.9184318
2021-10-18,ES,0.6929496,0.742616,-0.4369014
2021-10-21,ES,0.4714427,0.4201681,-0.1600707
2021-10-25,ES,0.7583557,0.2748612,0.2535134
2021-10-27,ES,0.8080455,-0.5471657,0.09310477
2021-10-28,ES,0.7759665,0.6140688,0.3466109
2021-10-29,ES,1.028855,0.7340455,-0.5231323
2021-11-02,ES,0.5679245,0.3635772,0.02171081
2021-11-03,ES,1.218595,0.7416631,-0.1243579
2021-11-08,ES,0.6265193,-0.1595151,0.250533
2021-11-09,ES,1.192682,-0.4150482,0.08521063
2021-11-10,ES,1.64978,-0.4130458,-0.3900614
2021-11-11,ES,0.4502075,-0.3006389,0.3339618
2021-11-12,ES,1.143939,0.4564003,0.2853912
2021-11-15,ES,0.771123,-0.2664393,0.3046662
2021-11-16,ES,1.03452,0.4490778,-0.05877324
2021-11-17,ES,0.5271651,-0.1810533,-0.05322263
2021-11-18,ES,1.182648,0.101123,0.2347293
2021-11-19,ES,0.7818077,-0.1489124,-0.02658443
2021-11-23,ES,1.373418,0.2245149,-0.06944444
2021-11-24,ES,1.30745,0.7181136,-0.474692
2021-11-29,ES,1.172712,0.1184069,1.441363
2021-11-30,ES,1.931225,-1.324611,-0.5698312
2021-12-01,ES,3.023792,-2.42398,1.265684
2021-12-02,ES,1.528384,1.491048,0.03881557
2021-12-03,ES,1.889773,-1.256801,0.3823048
2021-12-06,ES,1.083244,0.5805356,0.606094
2021-12-07,ES,0.6482476,0.8283578,1.230602
2021-12-08,ES,0.4158416,0.1758968,0.08535609
2021-12-09,ES,0.3947867,-0.3842254,-0.2926466
2021-12-10,ES,0.5755227,0.3140971,0.6267745
2021-12-13,ES,0.5680191,-0.7597089,-0.1061402
2021-12-14,ES,0.7401914,0.06472841,-0.754818
2021-12-15,ES,1.337566,1.544693,0.005369003
2021-12-17,ES,0.8474091,-0.3513703,-0.7138257
2021-12-21,ES,0.9080205,0.9902606,0.7841632
2021-12-22,ES,0.7154366,1.051213,-0.05926405
2021-12-23,ES,0.5095522,0.3939104,0.218725
2021-12-29,ES,0.4366792,0.08890748,0.005230126
2021-12-30,ES,0.5494329,-0.3393547,0.0836033
2021-12-31,ES,0.3596499,-0.1416208,-0.1257269
2022-01-03,ES,0.6932121,0.282841,0.2836432
2022-01-05,ES,1.748876,-1.840908,-0.07316436
2022-01-06,ES,0.9719083,-0.005333618,-0.1065587
2022-01-07,ES,0.8577168,-0.3893749,0.0
2022-01-11,ES,1.515193,0.9710821,-0.05362218
2022-01-12,ES,0.8218332,-0.09527842,0.3825717
2022-01-13,ES,1.825452,-1.617507,0.2331249
2022-01-14,ES,0.9573429,0.7577808,-0.7360842
2022-01-18,ES,0.886619,-0.6841877,-1.084972
2022-01-19,ES,1.425724,-1.378596,0.3389831
2022-01-20,ES,2.058099,-1.529574,0.4199127
2022-01-25,ES,1.508749,0.3401557,-1.555139
2022-01-26,ES,1.769647,-1.654203,1.42496
2022-01-27,ES,1.326542,-1.589744,1.09447
2022-01-28,ES,1.442409,2.12373,0.330033
2022-01-31,ES,1.032122,1.918723,-0.1582278
2022-02-01,ES,0.6468966,0.4986978,0.2221358
2022-02-03,ES,0.7062315,-0.9414631,-1.376372
2022-02-04,ES,0.8428094,0.5259918,-0.08945044
2022-02-07,ES,0.46,-0.5056117,0.1836905
2022-02-08,ES,0.6167401,0.9449788,-0.1284414
2022-02-09,ES,0.2582345,0.4992593,0.9638287
2022-02-10,ES,1.012654,-0.4316547,-1.35386
2022-02-11,ES,1.215211,-2.01167,0.01667408
2022-02-14,ES,0.6318052,-0.1873722,-0.1190949
2022-02-15,ES,0.3235018,0.5178431,1.063769
2022-02-16,ES,0.6911853,0.6020029,-0.4703774
2022-02-17,ES,0.8711373,-1.375113,-0.7661764
2022-02-18,ES,0.8432268,-0.7082477,0.04571429
2022-02-22,ES,1.229068,-0.5147782,0.7634922
2022-02-23,ES,1.450683,-2.476762,0.7034884
2022-02-25,ES,1.126727,1.890084,0.2974802
2022-02-28,ES,0.8146435,1.063953,-1.289954
2022-03-01,ES,1.067024,-1.148567,-0.3718961
2022-03-02,ES,0.8437208,1.253683,0.557718
2022-03-04,ES,0.6137213,0.1273148,-0.9287926
2022-03-07,ES,1.350543,-2.790321,-0.161831
2022-03-08,ES,1.267758,-0.8214775,0.04168652
2022-03-09,ES,0.6728373,0.5288207,2.148731
2022-03-10,ES,0.5902439,0.7155106,-1.157286
2022-03-11,ES,0.9042479,-1.89626,0.6282292
2022-03-14,ES,0.8463896,-0.9199905,0.2022124
2022-03-15,ES,0.8105516,1.517676,0.6529683
2022-03-17,ES,0.8289073,1.732102,-0.4826477
2022-03-18,ES,0.812315,1.481397,-0.3916005
2022-03-23,ES,0.5257037,-0.6867672,-0.6214627
2022-03-24,ES,0.6397607,1.012757,0.4778771
2022-03-28,ES,0.7129522,0.8720609,-0.1432981
2022-03-30,ES,0.6487077,-0.3467707,-0.2809596
2022-03-31,ES,0.9815744,-1.340088,-0.1903001
2022-04-01,ES,0.6175299,-0.1210521,0.3478549
2022-04-04,ES,0.6800118,0.8092486,0.07161745
2022-04-05,ES,1.267039,-0.8986794,-0.3440367
2022-04-07,ES,1.18087,0.7053292,-0.2122668
2022-04-08,ES,0.7716535,-0.05011973,-0.1834352
2022-04-11,ES,0.9261666,-0.9268622,-0.8134611
2022-04-12,ES,1.47135,-1.114677,0.7144072
2022-04-13,ES,0.9722222,1.213191,-0.04554512
2022-04-14,ES,1.10187,-1.277003,0.03376477
2022-04-18,ES,0.634981,0.2913453,-0.2507265
2022-04-19,ES,1.271318,1.647005,-0.05126452
