,0
2018-01-03,25279.0642
2018-01-04,25396.5909
2018-01-05,25221.4798
2018-01-08,25313.4744
2018-01-09,25337.9154
2018-01-10,25293.9577
2018-01-11,25273.4339
2018-01-12,25254.5497
2018-01-15,25402.6653
2018-01-16,25402.6653
2018-01-17,25587.0475
2018-01-18,25657.5451
2018-01-19,25562.8796
2018-01-22,25524.931
2018-01-23,25750.8246
2018-01-24,25819.9408
2018-01-25,25821.152
2018-01-26,25779.3652
2018-01-29,25981.4934
2018-01-30,25729.8762
2018-01-31,25453.9219
2018-02-01,25484.6368
2018-02-02,25590.4431
2018-02-05,25522.5498
2018-02-06,26609.9275
2018-02-07,26357.2738
2018-02-08,26422.3597
2018-02-09,27263.1626
2018-02-12,27275.5217
2018-02-13,27151.6571
2018-02-14,26945.6735
2018-02-15,27505.5239
2018-02-16,27531.7215
2018-02-19,27451.178
2018-02-20,27376.8778
2018-02-21,27498.6373
2018-02-22,27724.3929
2018-02-23,27559.4648
2018-02-26,27785.9158
2018-02-27,27764.2556
2018-02-28,27909.3175
2018-03-01,27907.8992
2018-03-02,27724.535
2018-03-05,27838.2233
2018-03-06,28165.7874
2018-03-07,27697.2983
2018-03-08,27538.2082
2018-03-09,27070.5041
2018-03-12,27335.7664
2018-03-13,26956.5051
2018-03-14,27401.8714
2018-03-15,26941.853
2018-03-16,26857.7197
2018-03-19,26948.6077
2018-03-20,26985.507
2018-03-21,26440.3675
2018-03-22,26504.9019
2018-03-23,26440.7347
2018-03-26,26495.7491
2018-03-27,26989.5655
2018-03-28,27561.6596
2018-03-29,25799.8133
2018-04-02,26237.4869
2018-04-03,26732.445
2018-04-04,26308.9039
2018-04-05,26936.6679
2018-04-06,26143.6648
2018-04-09,26638.9235
2018-04-10,27013.0398
2018-04-11,27024.8758
2018-04-12,26898.4448
2018-04-13,26602.057
2018-04-16,26644.1178
2018-04-17,26400.0597
2018-04-18,26646.75
2018-04-19,26625.6036
2018-04-20,26347.6722
2018-04-23,26620.9291
2018-04-24,26620.0647
2018-04-25,27160.4687
2018-04-26,27447.6624
2018-04-27,27412.5436
2018-04-30,27698.3322
2018-05-01,27958.57
2018-05-02,27620.4512
2018-05-03,27435.7288
2018-05-04,27460.2044
2018-05-07,28011.1803
2018-05-08,27779.9476
2018-05-09,27318.8867
2018-05-10,27469.3486
2018-05-11,27596.7832
2018-05-14,27402.6742
2018-05-15,27394.1404
2018-05-16,27170.6984
2018-05-17,27244.0221
2018-05-18,27273.8574
2018-05-21,27111.016
2018-05-22,27129.8714
2018-05-23,27240.1217
2018-05-24,27406.74
2018-05-25,27495.0311
2018-05-28,27342.9752
2018-05-29,27331.8757
2018-05-30,27295.8049
2018-05-31,27236.8011
2018-06-01,26901.5749
2018-06-04,27111.6539
2018-06-05,27088.4709
2018-06-06,26932.5421
2018-06-07,27029.0074
2018-06-08,27161.0875
2018-06-11,27055.7256
2018-06-12,26877.0803
2018-06-13,26719.8361
2018-06-14,26583.9692
2018-06-15,26458.4526
2018-06-18,26200.7167
2018-06-19,26341.5276
2018-06-20,26409.0735
2018-06-21,26320.2456
2018-06-22,26388.1917
2018-06-25,26331.6762
2018-06-26,26640.8371
2018-06-27,26322.7022
2018-06-28,26588.2534
2018-06-29,26415.5683
2018-07-02,26456.5962
2018-07-03,26860.0976
2018-07-04,27188.3406
2018-07-05,27178.3236
2018-07-06,27284.7818
2018-07-09,27588.7537
2018-07-10,27602.6397
2018-07-11,27475.2059
2018-07-12,27218.038
2018-07-13,27494.0267
2018-07-16,27283.5984
2018-07-17,27322.7963
2018-07-18,27672.8336
2018-07-19,27571.0394
2018-07-20,27241.3168
2018-07-23,27236.6199
2018-07-24,27336.3463
2018-07-25,27426.5854
2018-07-26,27533.7727
2018-07-27,27395.1438
2018-07-30,27851.7136
2018-07-31,28170.34
2018-08-01,28051.5243
2018-08-02,27941.8333
2018-08-03,28443.3778
2018-08-06,28247.9374
2018-08-07,28389.4285
2018-08-08,27927.0755
2018-08-09,27952.6981
2018-08-10,27863.0154
2018-08-13,27415.7448
2018-08-14,27500.1725
2018-08-15,27503.3574
2018-08-16,27481.4439
2018-08-17,27388.0872
2018-08-20,27377.0774
2018-08-21,27340.8413
2018-08-22,27329.6768
2018-08-23,27189.4691
2018-08-24,27238.5899
2018-08-27,27322.8465
2018-08-28,27401.0447
2018-08-29,27373.3317
2018-08-30,27575.9764
2018-08-31,27501.9218
2018-09-03,27388.7448
2018-09-04,27388.7448
2018-09-05,27232.9716
2018-09-06,27210.0161
2018-09-07,27175.7298
2018-09-10,27250.5956
2018-09-11,27210.1426
2018-09-12,27401.7887
2018-09-13,27265.667
2018-09-14,27132.4198
2018-09-17,26818.7836
2018-09-18,27078.0394
2018-09-19,27188.1252
2018-09-20,26980.7963
2018-09-21,26844.6612
2018-09-24,27021.3331
2018-09-25,27227.4266
2018-09-26,27159.5701
2018-09-27,27200.2511
2018-09-28,27236.1062
2018-10-01,27002.2765
2018-10-02,27066.6485
2018-10-03,26995.5655
2018-10-04,26966.302
2018-10-05,27261.1931
2018-10-08,27167.6758
2018-10-09,27066.5995
2018-10-10,26776.1984
2018-10-11,27721.6799
2018-10-12,26929.0023
2018-10-15,26767.1354
2018-10-16,26600.5394
2018-10-17,26831.8536
2018-10-18,26720.531
2018-10-19,26933.6513
2018-10-22,27290.265
2018-10-23,27146.6103
2018-10-24,27346.06
2018-10-25,28272.087
2018-10-26,28651.9987
2018-10-29,27929.5781
2018-10-30,28609.8094
2018-10-31,28519.0735
2018-11-01,28201.6714
2018-11-02,28131.5518
2018-11-05,28401.6213
2018-11-06,28424.6054
2018-11-07,28428.9898
2018-11-08,28930.1934
2018-11-09,28329.721
2018-11-12,28412.3918
2018-11-13,28527.4891
2018-11-14,28596.3626
2018-11-15,28616.1687
2018-11-16,29105.4303
2018-11-19,28595.5613
2018-11-20,29330.1541
2018-11-21,29123.619
2018-11-22,28547.0838
2018-11-23,28614.6192
2018-11-26,28507.1042
2018-11-27,28302.8142
2018-11-28,28219.5845
2018-11-29,28752.4014
2018-11-30,28788.2744
2018-12-03,28700.2547
2018-12-04,28535.5455
2018-12-06,29209.2446
2018-12-07,29248.2626
2018-12-10,29792.044
2018-12-11,29534.9284
2018-12-12,29332.3197
2018-12-13,29449.542
2018-12-14,29263.7401
2018-12-17,29227.2774
2018-12-18,29729.3041
2018-12-19,28785.4776
2018-12-20,28964.3568
2018-12-21,28017.6181
2018-12-24,28821.3796
2018-12-26,29153.5963
2018-12-27,30502.5649
2018-12-28,30241.8997
2018-12-31,29492.9845
2019-01-02,29135.7032
2019-01-03,29799.7492
2019-01-04,29618.9933
2019-01-07,30408.1615
2019-01-08,30190.3857
2019-01-09,30109.0895
2019-01-10,29730.3863
2019-01-11,29733.5683
2019-01-14,29463.6188
2019-01-15,29357.3294
2019-01-16,29535.2788
2019-01-17,29593.0933
2019-01-18,29849.0236
2019-01-21,29741.3335
2019-01-22,29620.7021
2019-01-23,29880.3009
2019-01-24,29918.7637
2019-01-25,29264.7177
2019-01-28,29313.2703
2019-01-29,28973.9897
2019-01-30,29200.0184
2019-01-31,29495.6473
2019-02-01,29465.8233
2019-02-04,29028.381
2019-02-05,29303.7435
2019-02-06,29256.347
2019-02-07,29115.6935
2019-02-08,29078.2859
2019-02-11,29021.5056
2019-02-12,28993.7013
2019-02-13,29158.4942
2019-02-14,29253.2973
2019-02-15,29367.8491
2019-02-18,29160.1431
2019-02-19,29160.1431
2019-02-20,29167.987
2019-02-21,29113.7406
2019-02-22,28979.1636
2019-02-25,28867.274
2019-02-26,28863.367
2019-02-27,28707.0349
2019-02-28,28840.8591
2019-03-01,28566.3399
2019-03-04,28561.3792
2019-03-05,28740.5786
2019-03-06,28661.2449
2019-03-07,28779.1028
2019-03-08,28804.1391
2019-03-11,28603.9849
2019-03-12,28989.0066
2019-03-13,29048.0347
2019-03-14,29063.5732
2019-03-15,28879.2809
2019-03-18,28970.6019
2019-03-19,28871.2221
2019-03-20,28457.6589
2019-03-21,28320.62
2019-03-22,28750.8222
2019-03-25,29041.5712
2019-03-26,28782.3539
2019-03-27,28609.6525
2019-03-28,28567.2259
2019-03-29,28326.5478
2019-04-01,28291.8184
2019-04-02,28298.8304
2019-04-03,28245.4143
2019-04-04,28236.772
2019-04-05,28132.7363
2019-04-08,28129.3603
2019-04-09,28148.6795
2019-04-10,28096.5942
2019-04-11,28149.4416
2019-04-12,28166.3749
2019-04-15,28092.8673
2019-04-16,28095.2689
2019-04-17,27979.8131
2019-04-18,28000.9578
2019-04-22,27983.2184
2019-04-23,28118.0492
2019-04-24,28347.3474
2019-04-25,28223.1468
2019-04-26,28130.0843
2019-04-29,28225.8048
2019-04-30,28132.5448
2019-05-01,28033.1418
2019-05-02,27916.4131
2019-05-03,27976.9653
2019-05-06,28156.3938
2019-05-07,28525.6812
2019-05-08,28685.4008
2019-05-09,28415.3873
2019-05-10,28724.2822
2019-05-13,29144.3402
2019-05-14,28784.0436
2019-05-15,28746.945
2019-05-16,29247.4522
2019-05-17,29395.5735
2019-05-20,29175.004
2019-05-21,28888.0235
2019-05-22,28790.8386
2019-05-23,28333.6634
2019-05-24,27934.4861
2019-05-27,28106.7927
2019-05-28,28106.7927
2019-05-29,28064.3273
2019-05-30,27582.5233
2019-05-31,27461.117
2019-06-03,27405.9186
2019-06-04,27716.278
2019-06-05,28102.2533
2019-06-06,28220.3831
2019-06-07,28220.0474
2019-06-10,28553.3584
2019-06-11,28687.3946
2019-06-12,28919.5523
2019-06-13,28760.7395
2019-06-14,28650.6242
2019-06-17,28660.594
2019-06-18,28698.1352
2019-06-19,28800.264
2019-06-20,28734.8573
2019-06-21,28706.6931
2019-06-24,28479.7163
2019-06-25,28476.2987
2019-06-26,28822.5387
2019-06-27,28869.8949
2019-06-28,28705.4114
2019-07-01,28502.5057
2019-07-02,28605.6624
2019-07-03,28511.5421
2019-07-04,28618.7888
