date,instrument,direction,inside_day,b5_origin,rev10,rev20,rev30,rev40,dist_atr,vol_ratio,prevday_body,poc_dist_atr,on_ret_pct
2022-03-29,SPY,1,0,2,2,2,1,1,0.511679,1.636695,0.6615385,1.974902,1.280955
2022-04-06,SPY,-1,0,2,0,2,2,1,0.5442447,1.398583,-0.5263158,-0.9462993,-0.9223333
2022-04-21,SPY,1,0,2,2,2,2,2,0.265131,0.9230666,-0.5476773,1.175259,0.87023
2022-04-22,SPY,-1,0,1,2,0,0,0,0.2173936,1.111012,-0.8148722,-0.5792298,-0.2556727
2022-04-25,SPY,-1,0,2,2,2,2,2,0.4927828,1.6398,-0.9276596,-0.5666331,-0.5492442
2022-05-12,SPY,-1,0,2,2,2,2,2,0.2341794,1.425882,-0.4341342,-2.022459,-0.8071292
2022-05-27,SPY,1,0,2,0,0,0,0,0.221145,0.8467861,0.7718277,1.658113,0.6562878
2022-06-10,SPY,-1,0,2,0,0,0,0,0.7507527,1.597469,-0.770428,-1.862641,-1.634117
2022-06-13,SPY,-1,0,2,2,0,0,0,1.092993,1.673118,-0.8452579,-3.567519,-2.51411
2022-06-16,SPY,-1,0,2,2,0,0,0,0.2382094,1.51443,0.1590136,-0.7082334,-2.283755
2022-06-28,SPY,1,0,1,2,2,2,2,0.1329134,0.972028,-0.6454082,2.701949,0.4400525
2022-07-14,SPY,-1,0,1,2,2,2,2,0.1376365,1.166604,0.5165746,-1.707249,-1.277618
2022-07-22,SPY,1,0,2,2,2,2,2,0.06781068,0.944217,0.6458333,2.204539,0.03259861
2022-07-29,SPY,1,0,2,0,0,0,0,0.2214718,0.8290268,0.4895833,1.846953,0.4014086
2022-08-08,SPY,1,0,1,2,2,2,2,0.1833602,1.052219,0.8348018,0.7349436,0.4305028
2022-08-10,SPY,1,0,2,2,1,1,1,0.1047096,1.216149,-0.3754941,1.187799,1.789231
2022-08-11,SPY,1,0,2,0,0,2,1,0.4240477,0.9113767,0.374269,1.34603,0.7166837
2022-08-22,SPY,-1,0,2,0,0,0,0,0.4455302,1.390287,-0.6757426,-1.811699,-1.20813
2022-08-29,SPY,-1,0,2,2,2,1,1,0.3400842,1.510025,-0.9632403,-1.655184,-0.7599122
2022-09-01,SPY,-1,0,2,0,0,2,1,0.3393939,1.258314,-0.7669903,-0.8389691,-0.5820133
2022-09-12,SPY,1,0,2,0,0,1,1,0.2527446,1.137573,0.7614314,1.579312,0.5410723
2022-09-16,SPY,-1,0,2,0,2,2,1,0.6813357,1.671862,-0.3863319,-1.202002,-1.522608
2022-09-22,SPY,-1,0,2,2,2,1,1,0.2584541,1.335015,-0.7285714,-1.201691,-0.2358303
2022-09-23,SPY,-1,0,2,0,0,0,0,0.535138,1.593671,-0.5402844,-1.986862,-0.9726899
2022-10-04,SPY,1,0,2,0,0,0,1,0.2720284,1.45386,0.5877944,0.7924305,1.592973
2022-10-13,SPY,-1,1,2,2,2,2,2,0.7373778,1.618277,-0.4441261,-3.156475,-1.999663
2022-10-18,SPY,1,1,2,2,2,2,2,0.3902019,1.220209,0.7075,0.7371597,2.249059
