,0
2018-12-18,30061.6531
2018-12-19,29645.8258
2018-12-20,29620.8731
2018-12-21,28625.9625
2018-12-24,29185.236
2018-12-26,29312.8982
2018-12-27,30475.8859
2018-12-28,30592.2015
2018-12-31,30003.5331
2019-01-02,29589.0984
2019-01-03,30138.9023
2019-01-04,30220.7717
2019-01-07,30953.1226
2019-01-08,31115.7649
2019-01-09,31159.3287
2019-01-10,30905.7445
2019-01-11,30972.7428
2019-01-14,30966.6844
2019-01-15,30906.3587
2019-01-16,31190.9381
2019-01-17,31053.6365
2019-01-18,31250.7579
2019-01-21,31063.1388
2019-01-22,31063.1388
2019-01-23,31258.5116
2019-01-24,31328.409
2019-01-25,30933.706
2019-01-28,31021.3348
2019-01-29,30820.3322
2019-01-30,30949.5448
2019-01-31,31103.087
2019-02-01,31254.2821
2019-02-04,31091.9752
2019-02-05,31284.8368
2019-02-06,30886.4609
2019-02-07,30849.6406
2019-02-08,30636.9305
2019-02-11,30814.7089
2019-02-12,30802.0971
2019-02-13,30852.2545
2019-02-14,30882.5704
2019-02-15,30929.4808
2019-02-18,30798.1933
2019-02-19,30798.1933
2019-02-20,30717.3934
2019-02-21,30660.405
2019-02-22,30452.6818
2019-02-25,30458.6872
2019-02-26,30509.4741
2019-02-27,30488.7029
2019-02-28,30456.069
2019-03-01,30344.5541
2019-03-04,30186.178
2019-03-05,30262.5024
2019-03-06,30199.8138
2019-03-07,30249.1348
2019-03-08,29951.1411
2019-03-11,30079.3392
2019-03-12,30330.8098
2019-03-13,30304.0313
2019-03-14,30254.5333
2019-03-15,30254.5333
2019-03-18,30221.0334
2019-03-19,30142.2327
2019-03-20,29901.3113
2019-03-21,29963.4114
2019-03-22,30321.4154
2019-03-25,30770.3807
2019-03-26,30089.7532
2019-03-27,29973.3704
2019-03-28,30062.4475
2019-03-29,29804.3942
2019-04-01,29642.9565
2019-04-02,29675.0077
2019-04-03,29647.806
2019-04-04,29456.3168
2019-04-05,29419.65
2019-04-08,29419.65
2019-04-09,29465.402
2019-04-10,29401.6117
2019-04-11,29401.6117
2019-04-12,29401.6117
2019-04-15,29401.6117
2019-04-16,29218.1113
2019-04-17,29127.7714
2019-04-18,29070.2796
2019-04-22,28900.9028
2019-04-23,28933.9198
2019-04-24,29081.8418
2019-04-25,29081.8418
2019-04-26,29035.5832
2019-04-29,28941.2758
2019-04-30,28941.2758
2019-05-01,28752.938
2019-05-02,28938.93
2019-05-03,28827.2237
2019-05-06,28923.1686
2019-05-07,29164.3662
2019-05-08,29352.0214
2019-05-09,29249.7547
2019-05-10,29247.7849
2019-05-13,29579.2
2019-05-14,29838.4568
2019-05-15,29703.8126
2019-05-16,30104.8177
2019-05-17,30233.6237
2019-05-20,30275.3421
2019-05-21,29874.6298
2019-05-22,29628.7402
2019-05-23,29628.7402
2019-05-24,29543.9656
2019-05-27,29672.2142
2019-05-28,29672.2142
2019-05-29,29856.8879
2019-05-30,29603.9615
2019-05-31,29494.9147
2019-06-03,29351.2356
2019-06-04,29824.4564
2019-06-05,30253.33
2019-06-06,30208.0741
2019-06-07,30334.6518
2019-06-10,30604.2504
2019-06-11,30537.9588
2019-06-12,30647.6152
2019-06-13,30611.1033
2019-06-14,30611.1033
2019-06-17,30533.9682
2019-06-18,30488.7916
2019-06-19,30395.8843
2019-06-20,30429.8065
2019-06-21,30423.2148
2019-06-24,30330.5815
2019-06-25,30330.5815
2019-06-26,30623.4698
2019-06-27,30659.7448
2019-06-28,30659.7448
2019-07-01,30601.3693
2019-07-02,30647.6802
2019-07-03,30678.3103
2019-07-04,30696.034
2019-07-05,30696.034
2019-07-08,30784.3016
2019-07-09,30784.3016
2019-07-10,30889.8135
2019-07-11,30593.827
2019-07-12,30565.0242
2019-07-15,30565.0242
2019-07-16,30565.0242
2019-07-17,30550.7779
2019-07-18,30570.2702
2019-07-19,30481.4971
2019-07-22,30736.6463
2019-07-23,30709.6939
2019-07-24,30739.7609
2019-07-25,30861.0579
2019-07-26,30861.2375
2019-07-29,30861.2375
2019-07-30,30734.6003
2019-07-31,30636.6873
2019-08-01,30996.0596
2019-08-02,31404.9985
2019-08-05,31317.1008
2019-08-06,31622.4618
2019-08-07,31577.4713
2019-08-08,31736.9885
2019-08-09,32150.0607
2019-08-12,32102.4658
2019-08-13,31973.6944
2019-08-14,32531.1684
2019-08-15,32915.0378
2019-08-16,32477.2417
2019-08-19,32511.7867
2019-08-20,32401.31
2019-08-21,32278.2259
2019-08-22,32205.402
2019-08-23,32122.7151
2019-08-26,32505.7105
2019-08-27,32369.4889
2019-08-28,32492.3057
2019-08-29,32645.3431
2019-08-30,32260.8629
2019-09-02,32321.8754
2019-09-03,32293.5636
2019-09-04,32281.2038
2019-09-05,32319.1803
2019-09-06,32356.4441
2019-09-09,32356.4441
2019-09-10,32351.5292
2019-09-11,32427.494
2019-09-12,32535.9905
2019-09-13,32320.0619
2019-09-16,32320.0619
2019-09-17,32320.0619
2019-09-18,32348.9853
2019-09-19,32281.8822
2019-09-20,32295.3144
2019-09-23,32548.9187
2019-09-24,32474.5876
2019-09-25,32924.1711
2019-09-26,33069.3698
2019-09-27,32837.7468
2019-09-30,33112.9255
2019-10-01,33136.6838
2019-10-02,33510.2274
2019-10-03,33625.3654
2019-10-04,33832.5616
2019-10-07,34002.5803
2019-10-08,33879.5788
2019-10-09,33479.1098
2019-10-10,33402.4296
2019-10-11,33149.5191
2019-10-14,33003.1908
2019-10-15,33003.1908
2019-10-16,33117.9245
2019-10-17,33117.9245
2019-10-18,33099.371
2019-10-21,33254.3346
2019-10-22,33254.3346
2019-10-23,33491.0976
2019-10-24,33491.0976
2019-10-25,33316.8047
2019-10-28,33519.3093
2019-10-29,33519.3093
2019-10-30,33539.1989
2019-10-31,33573.5724
2019-11-01,33481.1345
2019-11-04,33500.7102
2019-11-05,33500.7102
2019-11-06,33500.7102
2019-11-07,33340.7536
2019-11-08,33351.9421
2019-11-11,33417.7244
2019-11-12,33417.7244
2019-11-13,33334.7461
2019-11-14,33334.7461
2019-11-15,33137.0631
2019-11-18,33137.0631
2019-11-19,33146.0148
2019-11-20,33026.4349
2019-11-21,33017.4929
2019-11-22,33017.4929
2019-11-25,32903.4758
2019-11-26,32903.4758
2019-11-27,32903.4758
